Row,Date,Time,Level,Temperature,pH,Conductivity,Flow,DO
0,05/24/21,17:56:41,8.4,23,7.62,795,16,0
1,05/24/21,17:57:41,8.4,23,7.62,794,16,0
2,05/24/21,17:58:41,8.4,23.2,7.62,795,16,0
3,05/24/21,17:59:41,8.4,23.3,7.62,797,15,0
4,05/24/21,18:00:41,8.4,23.3,7.62,798,16,0
5,05/24/21,18:01:41,8.4,23.4,7.62,798,15,0
6,05/24/21,18:02:42,8.4,23.4,7.62,798,15,0
7,05/24/21,18:03:41,8.5,23.4,7.62,798,15,0
8,05/24/21,18:04:41,8.4,23.4,7.62,798,16,0
9,05/24/21,18:05:41,8.4,23.5,7.62,798,16,0
10,05/24/21,18:06:42,8.5,23.5,7.62,798,16,0
11,05/24/21,18:07:41,8.4,23.4,7.62,798,16,0
12,05/24/21,18:08:41,8.4,23.1,7.62,797,15,0
13,05/24/21,18:09:42,8.5,23,7.62,795,15,0
14,05/24/21,18:10:41,8.4,23,7.62,795,15,0
15,05/24/21,18:11:41,8.4,23.2,7.62,795,16,0
16,05/24/21,18:12:42,8.4,23.3,7.62,797,15,0
17,05/24/21,18:13:42,8.4,23.3,7.62,797,15,0
18,05/24/21,18:14:41,8.4,23.4,7.62,798,16,0
19,05/24/21,18:15:41,8.4,23.4,7.62,798,16,0
20,05/24/21,18:16:42,8.4,23.4,7.62,798,15,0
21,05/24/21,18:17:42,8.4,23.4,7.62,798,15,0
22,05/24/21,18:18:41,8.4,23.5,7.62,797,15,0
23,05/24/21,18:19:42,8.4,23.5,7.62,797,15,0
24,05/24/21,18:20:42,8.3,23.4,7.62,797,16,0
25,05/24/21,18:21:42,8.2,23.1,7.62,797,16,0
26,05/24/21,18:22:42,8.2,23,7.62,795,16,0
27,05/24/21,18:23:42,8.2,23,7.62,794,16,0
28,05/24/21,18:24:42,8.2,23.2,7.62,796,16,0
29,05/24/21,18:25:42,8.2,23.3,7.62,795,15,0
30,05/24/21,18:26:42,8.2,23.4,7.62,797,15,0
31,05/24/21,18:27:42,8.2,23.4,7.62,797,16,0
32,05/24/21,18:28:42,8.2,23.4,7.62,797,15,0
33,05/24/21,18:29:42,8.2,23.4,7.62,797,16,0
34,05/24/21,18:30:42,8.2,23.5,7.62,795,15,0
35,05/24/21,18:31:42,8.2,23.5,7.62,795,16,0
36,05/24/21,18:32:42,8.2,23.5,7.62,795,15,0
37,05/24/21,18:33:42,8.2,23.4,7.62,795,16,0
38,05/24/21,18:34:42,8.2,23.1,7.62,794,16,0
39,05/24/21,18:35:42,8.2,23,7.62,792,16,0
40,05/24/21,18:36:42,8.2,23,7.62,791,16,0
41,05/24/21,18:37:42,8.2,23.2,7.62,793,16,0
42,05/24/21,18:38:42,8.2,23.3,7.62,793,15,0
43,05/24/21,18:39:42,8.2,23.4,7.62,794,15,0
44,05/24/21,18:40:42,8.2,23.4,7.62,794,15,0
45,05/24/21,18:41:42,8.3,23.4,7.62,794,15,0
46,05/24/21,18:42:42,8.3,23.4,7.62,793,16,0
47,05/24/21,18:43:42,8.3,23.5,7.62,794,16,0
48,05/24/21,18:44:42,8.3,23.5,7.62,794,15,0
49,05/24/21,18:45:42,8.3,23.5,7.62,794,16,0
50,05/24/21,18:46:42,8.3,23.4,7.62,794,15,0
51,05/24/21,18:47:42,8.3,23.2,7.61,793,15,0
52,05/24/21,18:48:42,8.3,23,7.62,791,15,0
53,05/24/21,18:49:42,8.3,23,7.62,792,15,0
54,05/24/21,18:50:42,8.4,23.2,7.61,792,16,0
55,05/24/21,18:51:42,8.4,23.3,7.62,797,16,0
56,05/24/21,18:52:42,8.4,23.4,7.62,798,16,0
57,05/24/21,18:53:42,8.4,23.4,7.62,802,15,0
58,05/24/21,18:54:42,8.4,23.4,7.62,805,15,0
59,05/24/21,18:55:43,8.4,23.4,7.62,804,15,0
60,05/24/21,18:56:42,8.4,23.5,7.62,803,15,0
61,05/24/21,18:57:42,8.4,23.5,7.62,802,15,0
62,05/24/21,18:58:42,8.4,23.5,7.62,801,16,0
63,05/24/21,18:59:43,8.4,23.4,7.61,801,16,0
64,05/24/21,19:00:42,8.4,23.2,7.62,800,15,0
65,05/24/21,19:01:42,8.4,23,7.62,798,16,0
66,05/24/21,19:02:43,8.4,23,7.62,797,16,0
67,05/24/21,19:03:43,8.4,23.2,7.62,798,16,0
68,05/24/21,19:04:42,8.4,23.3,7.62,798,15,0
69,05/24/21,19:05:43,8.4,23.3,7.62,799,16,0
70,05/24/21,19:06:43,8.4,23.4,7.62,800,15,0
71,05/24/21,19:07:43,8.4,23.4,7.62,800,16,0
72,05/24/21,19:08:42,8.4,23.4,7.61,800,15,0
73,05/24/21,19:09:43,8.4,23.5,7.62,801,16,0
74,05/24/21,19:10:43,8.4,23.5,7.62,800,15,0
75,05/24/21,19:11:43,8.4,23.5,7.61,800,15,0
76,05/24/21,19:12:43,8.4,23.4,7.62,800,16,0
77,05/24/21,19:13:43,8.4,23.2,7.62,800,16,0
78,05/24/21,19:14:43,8.4,23,7.62,797,16,0
79,05/24/21,19:15:42,8.4,23,7.62,797,16,0
80,05/24/21,19:16:43,8.4,23.2,7.62,798,16,0
81,05/24/21,19:17:43,8.4,23.3,7.62,798,16,0
82,05/24/21,19:18:43,8.4,23.3,7.62,800,16,0
83,05/24/21,19:19:43,8.4,23.4,7.62,801,16,0
84,05/24/21,19:20:43,8.4,23.4,7.61,801,16,0
85,05/24/21,19:21:43,8.4,23.4,7.62,800,15,0
86,05/24/21,19:22:43,8.4,23.4,7.62,799,15,0
87,05/24/21,19:23:43,8.5,23.5,7.62,800,15,0
88,05/24/21,19:24:43,8.5,23.5,7.62,800,16,0
89,05/24/21,19:25:43,8.4,23.5,7.62,800,15,0
90,05/24/21,19:26:43,8.5,23.2,7.62,798,15,0
91,05/24/21,19:27:43,8.4,23,7.62,797,16,0
92,05/24/21,19:28:43,8.4,23,7.62,797,16,0
93,05/24/21,19:29:43,8.4,23.2,7.62,797,16,0
94,05/24/21,19:30:43,8.4,23.3,7.62,798,16,0
95,05/24/21,19:31:43,8.5,23.3,7.62,800,15,0
96,05/24/21,19:32:43,8.4,23.4,7.61,800,16,0
97,05/24/21,19:33:43,8.4,23.4,7.61,800,16,0
98,05/24/21,19:34:43,8.4,23.4,7.61,800,16,0
99,05/24/21,19:35:43,8.4,23.4,7.61,800,15,0
100,05/24/21,19:36:43,8.5,23.5,7.62,800,15,0
101,05/24/21,19:37:43,8.5,23.5,7.62,801,15,0
102,05/24/21,19:38:43,8.5,23.5,7.62,799,16,0
103,05/24/21,19:39:43,8.4,23.2,7.62,800,15,0
104,05/24/21,19:40:43,8.5,23,7.62,798,15,0
105,05/24/21,19:41:43,8.4,22.9,7.62,797,16,0
106,05/24/21,19:42:43,8.5,23.2,7.61,797,15,0
107,05/24/21,19:43:43,8.4,23.3,7.62,798,16,0
108,05/24/21,19:44:43,8.4,23.3,7.62,801,15,0
109,05/24/21,19:45:43,8.4,23.4,7.62,800,15,0
110,05/24/21,19:46:43,8.4,23.4,7.62,800,15,0
111,05/24/21,19:47:43,8.5,23.4,7.62,800,15,0
112,05/24/21,19:48:43,8.4,23.4,7.62,800,15,0
113,05/24/21,19:49:43,8.4,23.4,7.62,800,16,0
114,05/24/21,19:50:43,8.5,23.5,7.62,800,15,0
115,05/24/21,19:51:43,8.5,23.5,7.61,800,15,0
116,05/24/21,19:52:43,8.4,23.2,7.62,799,16,0
117,05/24/21,19:53:43,8.4,23,7.62,797,16,0
118,05/24/21,19:54:44,8.5,22.9,7.62,797,15,0
119,05/24/21,19:55:43,8.4,23.2,7.62,797,16,0
120,05/24/21,19:56:43,8.4,23.3,7.62,798,15,0
121,05/24/21,19:57:44,8.4,23.3,7.62,800,15,0
122,05/24/21,19:58:44,8.4,23.4,7.62,800,16,0
123,05/24/21,19:59:43,8.5,23.4,7.62,800,15,0
124,05/24/21,20:00:43,8.3,23.4,7.62,800,16,0
125,05/24/21,20:01:44,8.2,23.4,7.62,800,16,0
126,05/24/21,20:02:44,8.3,23.5,7.62,799,16,0
127,05/24/21,20:03:43,8.2,23.5,7.62,799,16,0
128,05/24/21,20:04:44,8.1,23.5,7.62,800,15,0
129,05/24/21,20:05:44,8.1,23.2,7.62,798,16,0
130,05/24/21,20:06:43,8.1,23,7.62,797,16,0
131,05/24/21,20:07:44,8.1,22.9,7.62,795,16,0
132,05/24/21,20:08:44,8.1,23.1,7.62,795,16,0
133,05/24/21,20:09:44,8.1,23.3,7.62,797,16,0
