Rack_Number,Date,Time,Month,Year,Level,Temperature,pH,Conductivity,Flow
Rack 12,11/30/2021,12:50:08,2021-11,2021,24.4,26.2,7.67,800,17
Rack 12,11/30/2021,12:51:08,2021-11,2021,24.4,26.2,7.67,799,18
Rack 12,11/30/2021,12:52:08,2021-11,2021,24.4,26.2,7.67,799,17
Rack 12,11/30/2021,12:53:08,2021-11,2021,24.4,26.2,7.67,800,17
Rack 12,11/30/2021,12:54:08,2021-11,2021,24.5,26.2,7.66,799,18
Rack 12,11/30/2021,12:55:09,2021-11,2021,24.4,26.2,7.64,801,18
Rack 12,11/30/2021,12:56:09,2021-11,2021,24.4,26.2,7.64,801,17
Rack 12,11/30/2021,12:57:09,2021-11,2021,24.4,26.3,7.64,800,17
Rack 12,11/30/2021,12:58:09,2021-11,2021,24.5,26.3,7.64,799,17
Rack 12,11/30/2021,12:59:09,2021-11,2021,24.4,26.3,7.64,801,18
Rack 12,11/30/2021,13:00:09,2021-11,2021,24.4,26.3,7.64,799,17
Rack 12,11/30/2021,13:01:09,2021-11,2021,24.4,26.3,7.64,800,17
Rack 12,11/30/2021,13:02:08,2021-11,2021,24.4,26.3,7.64,800,17
Rack 12,11/30/2021,13:03:08,2021-11,2021,24.4,26.3,7.64,800,17
Rack 12,11/30/2021,13:04:09,2021-11,2021,24.4,26.3,7.64,800,17
Rack 12,11/30/2021,13:05:09,2021-11,2021,24.4,26.3,7.64,800,17
Rack 12,11/30/2021,13:06:09,2021-11,2021,24.4,26.3,7.64,799,17
Rack 12,11/30/2021,13:07:09,2021-11,2021,24.4,26.3,7.64,802,17
Rack 12,11/30/2021,13:08:09,2021-11,2021,24.5,26.3,7.64,802,17
Rack 12,11/30/2021,13:09:09,2021-11,2021,24.4,26.3,7.64,799,17
Rack 12,11/30/2021,13:10:09,2021-11,2021,24.4,26.3,7.64,801,17
Rack 12,11/30/2021,13:11:09,2021-11,2021,24.5,26.3,7.64,799,18
Rack 12,11/30/2021,13:12:09,2021-11,2021,24.4,26.4,7.64,800,18
Rack 12,11/30/2021,13:13:09,2021-11,2021,24.4,26.4,7.64,801,17
Rack 12,11/30/2021,13:14:09,2021-11,2021,24.4,26.4,7.64,802,18
Rack 12,11/30/2021,13:15:09,2021-11,2021,24.5,26.4,7.64,799,17
Rack 12,11/30/2021,13:16:09,2021-11,2021,24.4,26.4,7.64,801,17
Rack 12,11/30/2021,13:17:09,2021-11,2021,24.4,26.4,7.64,799,17
Rack 12,11/30/2021,13:18:09,2021-11,2021,24.5,26.4,7.64,802,18
Rack 12,11/30/2021,13:19:09,2021-11,2021,24.4,26.4,7.64,801,17
Rack 12,11/30/2021,13:20:09,2021-11,2021,24.4,26.4,7.64,801,17
Rack 12,11/30/2021,13:21:09,2021-11,2021,24.4,26.4,7.64,801,17
Rack 12,11/30/2021,13:22:09,2021-11,2021,24.4,26.4,7.64,800,17
Rack 12,11/30/2021,13:23:09,2021-11,2021,24.4,26.4,7.64,800,17
Rack 12,11/30/2021,13:24:09,2021-11,2021,24.4,26.4,7.64,801,17
Rack 12,11/30/2021,13:25:09,2021-11,2021,24.4,26.2,7.64,799,17
Rack 12,11/30/2021,13:26:09,2021-11,2021,24.4,26,7.67,798,17
Rack 12,11/30/2021,13:27:09,2021-11,2021,24.4,25.9,7.67,797,18
Rack 12,11/30/2021,13:28:09,2021-11,2021,24.4,26,7.67,797,17
Rack 12,11/30/2021,13:29:09,2021-11,2021,24.4,26.1,7.67,799,17
Rack 12,11/30/2021,13:30:09,2021-11,2021,24.4,26.2,7.67,801,18
Rack 12,11/30/2021,13:31:09,2021-11,2021,24.4,26.2,7.67,800,17
Rack 12,11/30/2021,13:32:09,2021-11,2021,24.4,26.3,7.67,800,18
Rack 12,11/30/2021,13:33:09,2021-11,2021,24.4,26.3,7.67,800,18
Rack 12,11/30/2021,13:34:09,2021-11,2021,24.4,26.3,7.67,799,18
Rack 12,11/30/2021,13:35:09,2021-11,2021,24.4,26.3,7.67,798,17
Rack 12,11/30/2021,13:36:09,2021-11,2021,24.4,26.3,7.66,801,17
Rack 12,11/30/2021,13:37:09,2021-11,2021,24.4,26.3,7.67,799,18
Rack 12,11/30/2021,13:38:09,2021-11,2021,24.4,26.3,7.67,801,17
Rack 12,11/30/2021,13:39:09,2021-11,2021,24.4,26.3,7.67,801,18
Rack 12,11/30/2021,13:40:09,2021-11,2021,24.4,26.4,7.67,801,18
Rack 12,11/30/2021,13:41:09,2021-11,2021,24.4,26.3,7.67,799,17
Rack 12,11/30/2021,13:42:09,2021-11,2021,24.5,26.4,7.67,801,18
Rack 12,11/30/2021,13:43:10,2021-11,2021,24.4,26.4,7.67,801,17
Rack 12,11/30/2021,13:44:10,2021-11,2021,24.4,26.4,7.67,801,18
Rack 12,11/30/2021,13:45:10,2021-11,2021,24.4,26.4,7.66,801,17
Rack 12,11/30/2021,13:46:10,2021-11,2021,24.4,26.4,7.64,800,17
Rack 12,11/30/2021,13:47:10,2021-11,2021,24.4,26.4,7.67,800,17
Rack 12,11/30/2021,13:48:09,2021-11,2021,24.4,26.4,7.64,799,17
Rack 12,11/30/2021,13:49:09,2021-11,2021,24.4,26.4,7.64,801,17
Rack 12,11/30/2021,13:50:09,2021-11,2021,24.4,26.4,7.64,799,18
Rack 12,11/30/2021,13:51:10,2021-11,2021,24.4,26.4,7.64,801,17
Rack 12,11/30/2021,13:52:10,2021-11,2021,24.4,26.4,7.64,800,17
Rack 12,11/30/2021,13:53:10,2021-11,2021,24.4,26.4,7.64,801,17
Rack 12,11/30/2021,13:54:10,2021-11,2021,24.3,26.2,7.64,800,18
Rack 12,11/30/2021,13:55:10,2021-11,2021,24.4,26,7.64,798,18
Rack 12,11/30/2021,13:56:10,2021-11,2021,24.4,25.9,7.67,798,17
Rack 12,11/30/2021,13:57:10,2021-11,2021,24.3,26.1,7.67,799,18
Rack 12,11/30/2021,13:58:10,2021-11,2021,24.3,26.2,7.67,801,18
Rack 12,11/30/2021,13:59:10,2021-11,2021,24.4,26.2,7.66,801,17
Rack 12,11/30/2021,14:00:10,2021-11,2021,24.4,26.3,7.67,804,18
Rack 12,11/30/2021,14:01:10,2021-11,2021,24.4,26.3,7.64,801,17
Rack 12,11/30/2021,14:02:10,2021-11,2021,24.4,26.3,7.64,802,18
Rack 12,11/30/2021,14:03:10,2021-11,2021,24.1,26.3,7.64,801,18
Rack 12,11/30/2021,14:04:10,2021-11,2021,23.7,26.3,7.64,801,17
Rack 12,11/30/2021,14:05:10,2021-11,2021,23.4,26.3,7.64,800,17
Rack 12,11/30/2021,14:06:10,2021-11,2021,23,26.3,7.64,799,17
Rack 12,11/30/2021,14:07:10,2021-11,2021,22.6,26.4,7.64,801,17
Rack 12,11/30/2021,14:08:10,2021-11,2021,22.4,26.3,7.64,799,17
Rack 12,11/30/2021,14:09:10,2021-11,2021,22.4,26.3,7.64,800,17
Rack 12,11/30/2021,14:10:10,2021-11,2021,22.3,26.3,7.64,798,17
Rack 12,11/30/2021,14:11:10,2021-11,2021,22.4,26.3,7.64,798,17
Rack 12,11/30/2021,14:12:10,2021-11,2021,22.7,26.3,7.64,797,18
Rack 12,11/30/2021,14:13:10,2021-11,2021,22.9,26.3,7.64,797,17
Rack 12,11/30/2021,14:14:10,2021-11,2021,23,26.3,7.64,797,18
Rack 12,11/30/2021,14:15:10,2021-11,2021,23,26.3,7.64,798,18
Rack 12,11/30/2021,14:16:10,2021-11,2021,23.1,26.4,7.64,798,17
Rack 12,11/30/2021,14:17:10,2021-11,2021,23.2,26.4,7.64,798,17
Rack 12,11/30/2021,14:18:10,2021-11,2021,23.2,26.4,7.64,798,17
Rack 12,11/30/2021,14:19:10,2021-11,2021,23.1,26.4,7.64,798,17
Rack 12,11/30/2021,14:20:10,2021-11,2021,23.2,26.4,7.64,798,18
Rack 12,11/30/2021,14:21:10,2021-11,2021,23.1,26.4,7.64,798,18
Rack 12,11/30/2021,14:22:10,2021-11,2021,23,26.4,7.64,800,18
Rack 12,11/30/2021,14:23:10,2021-11,2021,23,26.4,7.64,798,17
Rack 12,11/30/2021,14:24:10,2021-11,2021,23.1,26.4,7.64,798,17
Rack 12,11/30/2021,14:25:10,2021-11,2021,23.2,26.4,7.64,798,18
Rack 12,11/30/2021,14:26:10,2021-11,2021,23.2,26.4,7.64,798,17
Rack 12,11/30/2021,14:27:10,2021-11,2021,23.1,26.1,7.64,797,18
Rack 12,11/30/2021,14:28:10,2021-11,2021,23.1,26,7.64,797,17
Rack 12,11/30/2021,14:29:10,2021-11,2021,23.1,26,7.67,797,18
Rack 12,11/30/2021,14:30:10,2021-11,2021,23.2,26.1,7.67,798,17
Rack 12,11/30/2021,14:31:11,2021-11,2021,23.2,26.2,7.67,799,18
Rack 12,11/30/2021,14:32:11,2021-11,2021,23.2,26.2,7.64,800,17
Rack 12,11/30/2021,14:33:11,2021-11,2021,23.2,26.3,7.64,798,17
Rack 12,11/30/2021,14:34:11,2021-11,2021,23.2,26.3,7.64,798,18
Rack 12,11/30/2021,14:35:11,2021-11,2021,23.2,26.3,7.64,798,18
Rack 12,11/30/2021,14:36:11,2021-11,2021,23.2,26.3,7.64,798,17
Rack 12,11/30/2021,14:37:10,2021-11,2021,23.3,26.3,7.64,798,17
Rack 12,11/30/2021,14:38:10,2021-11,2021,23.2,26.4,7.64,799,17
Rack 12,11/30/2021,14:39:10,2021-11,2021,23.3,26.3,7.64,798,17
Rack 12,11/30/2021,14:40:10,2021-11,2021,23.3,26.4,7.64,798,17
Rack 12,11/30/2021,14:41:11,2021-11,2021,23.3,26.4,7.64,799,17
Rack 12,11/30/2021,14:42:10,2021-11,2021,23.3,26.4,7.64,798,17
Rack 12,11/30/2021,14:43:11,2021-11,2021,23.3,26.4,7.64,798,17
