Rack,Date_Time,Device,State
MUW,2022-01-01 13:21:48,Conductivity Pump,1
MUW,2022-01-01 13:24:48,Conductivity Pump,0
MUW,2022-01-01 13:26:28,Conductivity Pump,1
MUW,2022-01-01 13:27:11,Conductivity Pump,0
MUW,2022-01-01 13:32:22,pH Pump,1
MUW,2022-01-01 13:32:42,pH Pump,0
MUW,2022-01-01 13:35:54,pH Pump,1
MUW,2022-01-01 13:36:14,pH Pump,0
MUW,2022-01-01 13:39:54,pH Pump,1
MUW,2022-01-01 13:40:14,pH Pump,0
MUW,2022-01-01 13:43:54,pH Pump,1
MUW,2022-01-01 13:44:14,pH Pump,0
MUW,2022-01-01 13:44:55,Conductivity Pump,1
MUW,2022-01-01 13:47:47,Conductivity Pump,0
MUW,2022-01-01 13:47:54,pH Pump,1
MUW,2022-01-01 13:48:14,pH Pump,0
MUW,2022-01-01 13:49:28,Conductivity Pump,1
MUW,2022-01-01 13:51:55,pH Pump,1
MUW,2022-01-01 13:52:14,pH Pump,0
MUW,2022-01-01 13:52:28,Conductivity Pump,0
MUW,2022-01-01 13:54:08,Conductivity Pump,1
MUW,2022-01-01 13:55:54,pH Pump,1
MUW,2022-01-01 13:56:14,pH Pump,0
MUW,2022-01-01 13:57:08,Conductivity Pump,0
MUW,2022-01-01 13:58:48,Conductivity Pump,1
MUW,2022-01-01 13:59:54,pH Pump,1
MUW,2022-01-01 14:00:14,pH Pump,0
MUW,2022-01-01 14:01:48,Conductivity Pump,0
MUW,2022-01-01 14:03:55,pH Pump,1
MUW,2022-01-01 14:04:14,pH Pump,0
MUW,2022-01-01 14:07:54,pH Pump,1
MUW,2022-01-01 14:08:14,pH Pump,0
MUW,2022-01-01 14:11:55,pH Pump,1
MUW,2022-01-01 14:12:14,pH Pump,0
MUW,2022-01-01 14:15:54,pH Pump,1
MUW,2022-01-01 14:16:14,pH Pump,0
MUW,2022-01-01 14:18:05,Conductivity Pump,1
MUW,2022-01-01 14:19:54,pH Pump,1
MUW,2022-01-01 14:20:14,pH Pump,0
MUW,2022-01-01 14:21:05,Conductivity Pump,0
MUW,2022-01-01 14:22:45,Conductivity Pump,1
MUW,2022-01-01 14:25:45,Conductivity Pump,0
MUW,2022-01-01 14:27:25,Conductivity Pump,1
MUW,2022-01-01 14:30:25,Conductivity Pump,0
MUW,2022-01-01 14:32:05,Conductivity Pump,1
MUW,2022-01-01 14:35:05,Conductivity Pump,0
MUW,2022-01-01 14:36:45,Conductivity Pump,1
MUW,2022-01-01 14:39:45,Conductivity Pump,0
MUW,2022-01-01 14:41:25,Conductivity Pump,1
MUW,2022-01-01 14:44:25,Conductivity Pump,0
MUW,2022-01-01 14:46:05,Conductivity Pump,1
MUW,2022-01-01 14:49:05,Conductivity Pump,0
MUW,2022-01-01 14:50:45,Conductivity Pump,1
MUW,2022-01-01 14:53:00,pH Pump,1
MUW,2022-01-01 14:53:20,pH Pump,0
MUW,2022-01-01 14:53:45,Conductivity Pump,0
MUW,2022-01-01 14:55:13,pH Pump,1
MUW,2022-01-01 14:55:25,Conductivity Pump,1
MUW,2022-01-01 14:55:33,pH Pump,0
MUW,2022-01-01 14:58:25,Conductivity Pump,0
MUW,2022-01-01 14:59:13,pH Pump,1
MUW,2022-01-01 14:59:33,pH Pump,0
MUW,2022-01-01 15:00:05,Conductivity Pump,1
MUW,2022-01-01 15:03:05,Conductivity Pump,0
MUW,2022-01-01 15:03:13,pH Pump,1
MUW,2022-01-01 15:03:33,pH Pump,0
MUW,2022-01-01 15:04:45,Conductivity Pump,1
MUW,2022-01-01 15:07:13,pH Pump,1
MUW,2022-01-01 15:07:33,pH Pump,0
MUW,2022-01-01 15:07:40,Conductivity Pump,0
MUW,2022-01-01 15:11:13,pH Pump,1
MUW,2022-01-01 15:11:33,pH Pump,0
MUW,2022-01-01 15:15:13,pH Pump,1
MUW,2022-01-01 15:15:33,pH Pump,0
MUW,2022-01-01 15:19:13,pH Pump,1
MUW,2022-01-01 15:19:33,pH Pump,0
MUW,2022-01-01 15:23:13,pH Pump,1
MUW,2022-01-01 15:23:33,pH Pump,0
MUW,2022-01-01 15:24:01,Conductivity Pump,1
MUW,2022-01-01 15:26:04,Conductivity Pump,0
MUW,2022-01-01 15:27:13,pH Pump,1
MUW,2022-01-01 15:27:33,pH Pump,0
MUW,2022-01-01 15:27:44,Conductivity Pump,1
MUW,2022-01-01 15:30:44,Conductivity Pump,0
MUW,2022-01-01 15:31:13,pH Pump,1
MUW,2022-01-01 15:31:33,pH Pump,0
MUW,2022-01-01 15:32:24,Conductivity Pump,1
MUW,2022-01-01 15:35:13,pH Pump,1
MUW,2022-01-01 15:35:24,Conductivity Pump,0
MUW,2022-01-01 15:35:33,pH Pump,0
MUW,2022-01-01 15:37:04,Conductivity Pump,1
MUW,2022-01-01 15:39:13,pH Pump,1
MUW,2022-01-01 15:39:22,Conductivity Pump,0
