Row,Date,Time,Alarm
0,12/05/20,15:33:37,Low Water Level CO
1,12/17/20,11:07:51,Low Water Level CO
2,12/18/20,13:56:48,Low Water Level CO
3,12/19/20,10:24:16,High pH CO
4,12/19/20,10:26:30,High pH CO
5,01/16/21,12:37:07,Low Water Level
6,01/16/21,12:37:36,System Manually Stopped
7,01/28/21,16:13:11,Low Water Level CO
8,01/31/21,09:38:05,Low Water Level CO
9,02/04/21,10:13:29,Low Water Level CO
10,02/06/21,12:53:44,Low Water Level CO
11,02/08/21,12:07:57,Low Water Level CO
12,02/18/21,12:42:40,Low Water Level CO
13,02/20/21,12:42:52,Low Water Level CO
14,02/24/21,16:26:44,Low Water Level
15,02/27/21,09:42:38,Low Water Level CO
16,03/04/21,10:53:49,Low Water Level CO
17,03/04/21,12:49:27,Low Water Level CO
18,03/10/21,10:46:45,Low Water Level CO
19,03/10/21,13:13:03,Low Water Level CO
20,03/11/21,10:12:36,Low Water Level CO
21,03/11/21,15:29:37,Low Water Level CO
22,03/13/21,09:39:20,Low Water Level CO
23,03/15/21,10:15:44,Low Water Level CO
24,03/17/21,12:50:10,Low Water Level CO
25,03/19/21,12:43:12,Low Water Level CO
26,03/23/21,15:05:48,Low Water Level CO
27,03/26/21,12:42:40,Low Water Level CO
28,03/27/21,08:33:50,High pH CO
29,03/31/21,10:33:30,Low Water Level CO
30,03/31/21,13:20:29,Low Water Level CO
31,04/14/21,10:27:09,Low Water Level CO
32,04/16/21,10:38:20,Low Water Level CO
33,04/17/21,13:37:09,Low Water Level CO
34,04/27/21,09:49:58,Low Water Level CO
35,05/07/21,11:04:44,Low Water Level CO
36,05/08/21,13:13:53,Low Water Level CO
37,05/08/21,14:15:10,Low Conductivity
38,05/13/21,16:01:16,Low Water Level CO
39,05/26/21,09:36:44,Low Water Level CO
40,05/28/21,16:07:05,Low Water Level CO
41,06/02/21,09:24:45,Low Water Level CO
42,06/12/21,09:38:21,Low Water Level CO
43,07/10/21,13:10:44,Low Water Level CO
44,07/14/21,15:10:15,Low Water Level CO
45,07/15/21,09:45:52,Low Water Level CO
46,07/17/21,09:51:09,Low Water Level CO
47,07/19/21,10:11:22,Low Water Level CO
48,07/19/21,10:13:51,Low Water Level
49,07/22/21,09:30:45,Low Water Level CO
50,07/24/21,10:00:58,Low Water Level CO
51,08/13/21,10:00:26,Low Water Level CO
52,08/14/21,09:25:57,Low Water Level CO
53,08/18/21,11:42:42,Low Water Level CO
54,08/20/21,10:25:44,Low Water Level CO
55,08/22/21,15:57:08,Low Water Level CO
56,08/22/21,16:01:33,Low Water Level CO
57,08/25/21,15:48:15,Low Water Level CO
58,08/25/21,15:51:38,Low Water Level CO
59,08/27/21,10:39:17,Low Water Level CO
60,08/27/21,12:47:13,Low Water Level CO
61,08/27/21,15:43:22,Low Water Level CO
62,08/28/21,11:31:32,Low Water Level CO
63,08/30/21,12:03:56,Low Water Level CO
64,09/02/21,09:42:57,Low Water Level CO
65,09/03/21,14:19:50,Low Water Level CO
66,09/05/21,10:01:03,Low Water Level CO
67,09/10/21,12:42:25,Low Water Level CO
68,09/11/21,13:36:06,Low Water Level CO
69,09/14/21,08:38:19,High pH CO
70,09/14/21,08:41:02,High pH CO
71,09/16/21,09:37:04,Low Water Level CO
72,09/25/21,16:27:44,Low Water Level CO
73,09/28/21,11:30:16,Low Water Level CO
74,10/01/21,13:02:34,Low Water Level CO
75,10/15/21,10:41:23,Low Water Level CO
76,10/15/21,15:17:39,Low Water Level CO
77,10/16/21,10:28:12,Low Water Level CO
78,10/19/21,09:12:26,Low Water Level CO
79,10/19/21,11:51:39,Low Water Level CO
80,10/20/21,15:13:46,Low Water Level CO
81,10/23/21,12:25:52,Low Water Level CO
82,10/29/21,14:01:25,Low Water Level CO
83,11/06/21,09:46:52,Low Water Level CO
84,11/06/21,13:25:54,Low Water Level CO
85,08/03/20,12:17:45,Low Water Level CO
86,08/28/20,16:22:02,Low Water Level CO
87,09/05/20,11:11:21,Low Water Level CO
88,09/17/20,12:44:11,Low Water Level CO
89,10/08/20,16:32:57,Low Water Level CO
90,10/16/20,16:13:59,Low Water Level CO
91,10/16/20,16:17:40,Low Water Level CO
92,10/17/20,15:50:42,Low Water Level
93,10/29/20,14:19:45,Low Water Level CO
94,10/30/20,10:48:14,Low Water Level CO
95,10/31/20,16:16:58,Low Water Level CO
96,11/08/20,11:33:36,Low Water Level CO
97,11/19/20,10:53:17,Low Water Level
98,11/19/20,14:49:44,Low Water Level CO
99,11/27/20,10:49:18,Low Water Level CO
