Row,Date,Time,Device,State
0,04/07/21,23:19:53,Cooling,1
1,04/07/21,23:21:28,Heat Ex Comp,1
2,04/07/21,23:24:30,Heat Ex Comp,0
3,04/07/21,23:33:02,Cooling,1
4,04/07/21,23:34:31,Heat Ex Comp,1
5,04/07/21,23:37:35,Heat Ex Comp,0
6,04/07/21,23:45:53,Cooling,1
7,04/07/21,23:47:34,Heat Ex Comp,1
8,04/07/21,23:50:38,Heat Ex Comp,0
9,04/07/21,23:59:23,Cooling,1
10,04/08/21,00:00:38,Heat Ex Comp,1
11,04/08/21,00:03:33,Heat Ex Comp,0
12,04/08/21,00:12:10,Cooling,1
13,04/08/21,00:13:33,Heat Ex Comp,1
14,04/08/21,00:16:34,Heat Ex Comp,0
15,04/08/21,00:25:46,Cooling,1
16,04/08/21,00:26:34,Heat Ex Comp,1
17,04/08/21,00:28:42,Effulent Coil,1
18,04/08/21,00:29:34,Heat Ex Comp,0
19,04/08/21,00:37:59,Cooling,1
20,04/08/21,00:39:34,Heat Ex Comp,1
21,04/08/21,00:41:18,Effulent Coil,0
22,04/08/21,00:42:27,Heat Ex Comp,0
23,04/08/21,00:50:40,Cooling,1
24,04/08/21,00:52:27,Heat Ex Comp,1
25,04/08/21,00:55:24,Heat Ex Comp,0
26,04/08/21,01:04:39,Cooling,1
27,04/08/21,01:05:24,Heat Ex Comp,1
28,04/08/21,01:08:19,Heat Ex Comp,0
29,04/08/21,01:17:27,Cooling,1
30,04/08/21,01:18:19,Heat Ex Comp,1
31,04/08/21,01:21:19,Heat Ex Comp,0
32,04/08/21,01:30:18,Cooling,1
33,04/08/21,01:31:18,Heat Ex Comp,1
34,04/08/21,01:34:14,Heat Ex Comp,0
35,04/08/21,01:43:08,Cooling,1
36,04/08/21,01:44:15,Heat Ex Comp,1
37,04/08/21,01:47:16,Heat Ex Comp,0
38,04/08/21,01:55:20,Cooling,1
39,04/08/21,01:57:15,Heat Ex Comp,1
40,04/08/21,02:00:13,Heat Ex Comp,0
41,04/08/21,02:08:42,Effulent Coil,1
42,04/08/21,02:08:49,Cooling,1
43,04/08/21,02:10:14,Heat Ex Comp,1
44,04/08/21,02:13:11,Heat Ex Comp,0
45,04/08/21,02:21:18,Effulent Coil,0
46,04/08/21,02:22:28,Cooling,1
47,04/08/21,02:23:10,Heat Ex Comp,1
48,04/08/21,02:25:58,Heat Ex Comp,0
49,04/08/21,02:26:13,Conductivity Pump,1
50,04/08/21,02:26:22,Conductivity Pump,0
51,04/08/21,02:28:23,Conductivity Pump,1
52,04/08/21,02:28:32,Conductivity Pump,0
53,04/08/21,02:34:25,Cooling,1
54,04/08/21,02:35:59,Heat Ex Comp,1
55,04/08/21,02:38:59,Heat Ex Comp,0
56,04/08/21,02:47:07,Cooling,1
57,04/08/21,02:48:58,Heat Ex Comp,1
58,04/08/21,02:51:59,Heat Ex Comp,0
59,04/08/21,03:00:30,Cooling,1
60,04/08/21,03:02:00,Heat Ex Comp,1
61,04/08/21,03:05:01,Heat Ex Comp,0
62,04/08/21,03:13:46,Cooling,1
63,04/08/21,03:15:01,Heat Ex Comp,1
64,04/08/21,03:17:59,Heat Ex Comp,0
65,04/08/21,03:26:30,Cooling,1
