Row,Date,Time,Level,Temperature,pH,Conductivity,Flow,DO
0,06/05/21,23:30:33,8.4,23.4,7.67,800,16,0
1,06/05/21,23:31:33,8.4,23.4,7.67,799,16,0
2,06/05/21,23:32:33,8.4,23.5,7.67,800,16,0
3,06/05/21,23:33:33,8.4,23.5,7.67,800,15,0
4,06/05/21,23:34:33,8.4,23.4,7.67,799,16,0
5,06/05/21,23:35:34,8.4,23.1,7.67,798,15,0
6,06/05/21,23:36:33,8.4,23,7.67,798,15,0
7,06/05/21,23:37:33,8.4,23,7.67,798,16,0
8,06/05/21,23:38:34,8.4,23.2,7.67,798,16,0
9,06/05/21,23:39:34,8.4,23.3,7.67,800,16,0
10,06/05/21,23:40:33,8.4,23.3,7.67,800,16,0
11,06/05/21,23:41:33,8.4,23.4,7.67,800,15,0
12,06/05/21,23:42:34,8.3,23.4,7.67,800,16,0
13,06/05/21,23:43:34,8.2,23.4,7.67,800,16,0
14,06/05/21,23:44:33,8.2,23.5,7.67,800,16,0
15,06/05/21,23:45:34,8.2,23.5,7.67,800,15,0
16,06/05/21,23:46:34,8.2,23.5,7.67,800,15,0
17,06/05/21,23:47:34,8.2,23.4,7.67,800,16,0
18,06/05/21,23:48:33,8.2,23.1,7.67,800,15,0
19,06/05/21,23:49:34,8.2,23,7.67,797,16,0
20,06/05/21,23:50:34,8.2,23,7.67,797,16,0
21,06/05/21,23:51:34,8.2,23.2,7.67,795,16,0
22,06/05/21,23:52:34,8.2,23.3,7.67,797,15,0
23,06/05/21,23:53:34,8.2,23.3,7.67,797,15,0
24,06/05/21,23:54:34,8.2,23.4,7.67,797,15,0
25,06/05/21,23:55:33,8.2,23.4,7.67,797,16,0
26,06/04/21,11:14:52,8.1,23.2,7.64,791,16,0
27,06/04/21,11:15:51,8.1,23.3,7.64,796,15,0
28,06/04/21,11:16:52,8.1,23.3,7.64,797,16,0
29,06/04/21,11:17:51,8.2,23.4,7.64,799,15,0
30,06/04/21,11:18:52,8.1,23.4,7.64,801,15,0
31,06/04/21,11:19:52,8.1,23.4,7.64,800,16,0
32,06/04/21,11:20:52,8.2,23.4,7.64,800,16,0
33,06/04/21,11:21:51,8.2,23.4,7.64,801,15,0
34,06/04/21,11:22:52,8.3,23.4,7.64,798,15,0
