Row,Date,Time,Device,State
0,12/15/21,12:49:02,Heat Ex Comp,0
1,12/15/21,13:09:04,Heat Ex Comp,1
2,12/15/21,13:09:04,Cooling,1
3,12/15/21,13:11:52,Heat Ex Comp,0
4,12/15/21,13:27:46,Heat Ex Comp,1
5,12/15/21,13:27:46,Cooling,1
6,12/15/21,13:30:33,Heat Ex Comp,0
7,12/15/21,13:49:35,Heat Ex Comp,1
8,12/15/21,13:49:35,Cooling,1
9,12/15/21,13:52:23,Heat Ex Comp,0
10,12/15/21,14:03:04,Effulent Coil,1
11,12/15/21,14:11:40,Effulent Coil,0
12,12/15/21,14:15:05,Heat Ex Comp,1
13,12/15/21,14:15:05,Cooling,1
14,12/15/21,14:18:09,Heat Ex Comp,0
15,12/15/21,14:34:35,Heat Ex Comp,1
16,12/15/21,14:34:35,Cooling,1
17,12/15/21,14:37:44,Heat Ex Comp,0
18,12/15/21,15:05:05,Heat Ex Comp,1
19,12/15/21,15:05:05,Cooling,1
20,12/15/21,15:07:58,Heat Ex Comp,0
21,12/15/21,15:27:42,Heat Ex Comp,1
22,12/15/21,15:27:42,Cooling,1
23,12/15/21,15:30:31,Heat Ex Comp,0
24,12/15/21,15:43:04,Effulent Coil,1
25,12/15/21,15:51:40,Effulent Coil,0
26,12/15/21,15:58:04,Heat Ex Comp,1
27,12/15/21,15:58:04,Cooling,1
28,12/15/21,16:00:56,Heat Ex Comp,0
29,12/15/21,16:01:18,Conductivity Pump,1
30,12/15/21,16:01:28,Conductivity Pump,0
31,12/15/21,16:03:28,Conductivity Pump,1
32,12/15/21,16:03:38,Conductivity Pump,0
33,12/15/21,16:14:49,Heat Ex Comp,1
34,12/15/21,16:14:49,Cooling,1
35,12/15/21,16:17:31,Heat Ex Comp,0
36,12/15/21,16:38:14,Heat Ex Comp,1
37,12/15/21,16:38:14,Cooling,1
38,12/15/21,16:41:03,Heat Ex Comp,0
39,12/15/21,17:01:51,Heat Ex Comp,1
40,12/15/21,17:01:51,Cooling,1
41,12/15/21,17:04:44,Heat Ex Comp,0
42,12/15/21,17:23:04,Effulent Coil,1
43,12/15/21,17:23:47,Heat Ex Comp,1
44,12/15/21,17:23:47,Cooling,1
45,12/15/21,17:26:27,Heat Ex Comp,0
46,12/15/21,17:31:40,Effulent Coil,0
47,12/15/21,17:53:07,Heat Ex Comp,1
48,12/15/21,17:53:07,Cooling,1
49,12/15/21,17:55:58,Heat Ex Comp,0
50,12/15/21,18:10:15,Heat Ex Comp,1
51,12/15/21,18:10:15,Cooling,1
52,12/15/21,18:13:01,Heat Ex Comp,0
53,12/15/21,18:34:50,Heat Ex Comp,1
54,12/15/21,18:34:50,Cooling,1
55,12/15/21,18:37:45,Heat Ex Comp,0
56,12/15/21,19:00:24,Heat Ex Comp,1
57,12/15/21,19:00:24,Cooling,1
58,12/15/21,19:03:04,Effulent Coil,1
59,12/15/21,19:03:13,Heat Ex Comp,0
60,12/15/21,19:11:41,Effulent Coil,0
61,12/15/21,19:33:58,Heat Ex Comp,1
62,12/15/21,19:33:58,Cooling,1
63,12/15/21,19:36:47,Heat Ex Comp,0
64,12/15/21,20:00:03,Heat Ex Comp,1
65,12/15/21,20:00:03,Cooling,1
66,12/15/21,20:02:43,Heat Ex Comp,0
67,12/15/21,20:30:09,Heat Ex Comp,1
68,12/15/21,20:30:09,Cooling,1
69,12/15/21,20:32:55,Heat Ex Comp,0
70,12/15/21,20:43:05,Effulent Coil,1
71,12/15/21,20:51:41,Effulent Coil,0
72,12/15/21,21:06:33,Heat Ex Comp,1
73,12/15/21,21:06:33,Cooling,1
74,12/15/21,21:09:20,Heat Ex Comp,0
75,12/15/21,21:36:29,Heat Ex Comp,1
76,12/15/21,21:36:29,Cooling,1
77,12/15/21,21:39:15,Heat Ex Comp,0
78,12/15/21,22:05:43,Heat Ex Comp,1
79,12/15/21,22:05:43,Cooling,1
80,12/15/21,22:08:31,Heat Ex Comp,0
81,12/15/21,22:23:05,Effulent Coil,1
82,12/15/21,22:31:41,Effulent Coil,0
83,12/15/21,22:36:37,Heat Ex Comp,1
84,12/15/21,22:36:37,Cooling,1
85,12/15/21,22:39:05,Conductivity Pump,1
86,12/15/21,22:39:15,Conductivity Pump,0
87,12/15/21,22:39:33,Heat Ex Comp,0
88,12/15/21,22:41:01,Conductivity Pump,1
89,12/15/21,22:41:11,Conductivity Pump,0
90,12/15/21,22:53:45,Heat Ex Comp,1
91,12/15/21,22:53:45,Cooling,1
92,12/15/21,22:56:39,Heat Ex Comp,0
93,12/15/21,23:16:49,Heat Ex Comp,1
94,12/15/21,23:16:49,Cooling,1
95,12/15/21,23:19:48,Heat Ex Comp,0
96,12/15/21,23:43:35,Heat Ex Comp,1
97,12/15/21,23:43:35,Cooling,1
98,12/15/21,23:46:26,Heat Ex Comp,0
99,12/16/21,00:03:07,Effulent Coil,1
100,12/16/21,00:03:56,Conductivity Pump,1
101,12/16/21,00:04:06,Conductivity Pump,0
102,12/16/21,00:11:43,Effulent Coil,0
103,12/16/21,00:19:45,Heat Ex Comp,1
104,12/16/21,00:19:45,Cooling,1
105,12/16/21,00:22:37,Heat Ex Comp,0
106,12/16/21,00:46:52,Heat Ex Comp,1
107,12/16/21,00:46:52,Cooling,1
108,12/16/21,00:49:43,Heat Ex Comp,0
109,12/16/21,01:11:39,Heat Ex Comp,1
110,12/16/21,01:11:39,Cooling,1
111,12/16/21,01:14:26,Heat Ex Comp,0
112,12/16/21,01:35:18,Heat Ex Comp,1
113,12/16/21,01:35:18,Cooling,1
114,12/16/21,01:37:53,Heat Ex Comp,0
115,12/16/21,01:43:07,Effulent Coil,1
116,12/16/21,01:51:43,Effulent Coil,0
117,12/16/21,02:10:29,Heat Ex Comp,1
118,12/16/21,02:10:29,Cooling,1
119,12/16/21,02:13:09,Heat Ex Comp,0
120,12/16/21,02:37:11,Heat Ex Comp,1
121,12/16/21,02:37:11,Cooling,1
122,12/16/21,02:39:50,Heat Ex Comp,0
123,12/16/21,03:04:46,Heat Ex Comp,1
124,12/16/21,03:04:46,Cooling,1
125,12/16/21,03:07:24,Heat Ex Comp,0
126,12/16/21,03:23:07,Effulent Coil,1
127,12/16/21,03:31:43,Effulent Coil,0
128,12/16/21,03:42:36,Heat Ex Comp,1
129,12/16/21,03:42:36,Cooling,1
130,12/16/21,03:45:11,Heat Ex Comp,0
131,12/16/21,04:09:42,Heat Ex Comp,1
132,12/16/21,04:09:42,Cooling,1
133,12/16/21,04:12:18,Heat Ex Comp,0
134,12/16/21,04:37:35,Heat Ex Comp,1
135,12/16/21,04:37:35,Cooling,1
136,12/16/21,04:40:10,Heat Ex Comp,0
137,12/16/21,05:03:07,Effulent Coil,1
138,12/16/21,05:11:43,Effulent Coil,0
139,12/16/21,05:23:00,Heat Ex Comp,1
140,12/16/21,05:23:00,Cooling,1
141,12/16/21,05:25:42,Heat Ex Comp,0
142,12/16/21,05:54:41,Heat Ex Comp,1
143,12/16/21,05:54:41,Cooling,1
144,12/16/21,05:57:19,Heat Ex Comp,0
145,12/16/21,06:22:28,Heat Ex Comp,1
146,12/16/21,06:22:28,Cooling,1
147,12/16/21,06:24:58,Heat Ex Comp,0
148,12/16/21,06:43:08,Effulent Coil,1
149,12/16/21,06:51:43,Effulent Coil,0
150,12/16/21,06:53:21,Conductivity Pump,1
151,12/16/21,06:53:31,Conductivity Pump,0
152,12/16/21,06:55:09,Conductivity Pump,1
153,12/16/21,06:55:19,Conductivity Pump,0
154,12/16/21,07:05:39,Heat Ex Comp,1
155,12/16/21,07:05:39,Cooling,1
156,12/16/21,07:08:15,Heat Ex Comp,0
157,12/16/21,07:36:53,Heat Ex Comp,1
158,12/16/21,07:36:53,Cooling,1
159,12/16/21,07:39:34,Heat Ex Comp,0
160,12/16/21,08:08:02,Heat Ex Comp,1
161,12/16/21,08:08:02,Cooling,1
162,12/16/21,08:10:35,Heat Ex Comp,0
163,12/16/21,08:23:08,Effulent Coil,1
164,12/16/21,08:31:43,Effulent Coil,0
165,12/16/21,08:51:19,Heat Ex Comp,1
166,12/16/21,08:51:19,Cooling,1
167,12/16/21,08:53:55,Heat Ex Comp,0
168,12/16/21,09:12:59,Heat Ex Comp,1
169,12/16/21,09:12:59,Cooling,1
170,12/16/21,09:15:49,Heat Ex Comp,0
171,12/16/21,09:39:30,Heat Ex Comp,1
172,12/16/21,09:39:30,Cooling,1
173,12/16/21,09:42:21,Heat Ex Comp,0
174,12/16/21,10:03:08,Effulent Coil,1
175,12/16/21,10:11:44,Effulent Coil,0
176,12/16/21,10:40:36,Heat Ex Comp,1
177,12/16/21,10:40:36,Cooling,1
178,12/16/21,10:43:13,Heat Ex Comp,0
179,12/16/21,11:08:49,Heat Ex Comp,1
180,12/16/21,11:08:49,Cooling,1
181,12/16/21,11:11:27,Heat Ex Comp,0
182,12/16/21,11:26:47,Heat Ex Comp,1
183,12/16/21,11:26:47,Cooling,1
184,12/16/21,11:30:15,Heat Ex Comp,0
185,12/16/21,12:00:11,Heat Ex Comp,1
186,12/16/21,12:00:11,Cooling,1
187,12/16/21,12:56:36,Heat Ex Comp,0
188,12/16/21,13:00:11,Cooling,1
189,12/16/21,13:06:37,Heat Ex Comp,1
190,12/16/21,14:30:52,Heat Ex Comp,0
191,12/16/21,14:35:41,Cooling,1
192,12/16/21,14:40:52,Heat Ex Comp,1
193,12/16/21,14:48:39,Heat Ex Comp,0
194,12/16/21,14:52:42,Conductivity Pump,1
195,12/16/21,14:52:52,Conductivity Pump,0
196,12/16/21,14:54:04,Cooling,1
197,12/16/21,14:58:39,Heat Ex Comp,1
198,12/16/21,15:03:08,Effulent Coil,1
199,12/16/21,15:06:06,Heat Ex Comp,0
200,12/16/21,15:10:41,Cooling,1
201,12/16/21,15:11:44,Effulent Coil,0
202,12/16/21,15:16:06,Heat Ex Comp,1
203,12/16/21,15:19:17,Conductivity Pump,1
204,12/16/21,15:19:27,Conductivity Pump,0
205,12/16/21,15:21:27,Conductivity Pump,1
206,12/16/21,15:21:37,Conductivity Pump,0
207,12/16/21,15:23:21,Heat Ex Comp,0
208,12/16/21,15:28:31,Cooling,1
209,12/16/21,15:33:21,Heat Ex Comp,1
210,12/16/21,15:39:05,Heat Ex Comp,0
211,12/16/21,15:44:52,Cooling,1
212,12/16/21,15:49:05,Heat Ex Comp,1
213,12/16/21,15:54:38,Heat Ex Comp,0
214,12/16/21,16:00:06,Cooling,1
215,12/16/21,16:04:38,Heat Ex Comp,1
216,12/16/21,16:10:19,Heat Ex Comp,0
217,12/16/21,16:16:28,Cooling,1
218,12/16/21,16:20:19,Heat Ex Comp,1
219,12/16/21,16:25:41,Heat Ex Comp,0
220,12/16/21,16:30:51,Cooling,1
221,12/16/21,16:35:41,Heat Ex Comp,1
222,12/16/21,16:41:19,Heat Ex Comp,0
223,12/16/21,16:43:08,Effulent Coil,1
224,12/16/21,16:46:35,Cooling,1
225,12/16/21,16:51:19,Heat Ex Comp,1
226,12/16/21,16:51:44,Effulent Coil,0
227,12/16/21,16:53:25,Conductivity Pump,1
228,12/16/21,16:53:35,Conductivity Pump,0
229,12/16/21,16:55:35,Conductivity Pump,1
230,12/16/21,16:55:45,Conductivity Pump,0
231,12/16/21,16:57:23,Heat Ex Comp,0
232,12/16/21,17:02:25,Cooling,1
233,12/16/21,17:07:23,Heat Ex Comp,1
234,12/16/21,17:13:39,Heat Ex Comp,0
235,12/16/21,17:19:26,Cooling,1
236,12/16/21,17:23:39,Heat Ex Comp,1
237,12/16/21,17:29:00,Heat Ex Comp,0
238,12/16/21,17:34:34,Cooling,1
239,12/16/21,17:39:00,Heat Ex Comp,1
240,12/16/21,17:44:26,Heat Ex Comp,0
241,12/16/21,17:50:32,Cooling,1
