Row,Date,Time,Level,Temperature,pH,Conductivity,Flow,DO
0,12/29/21,14:03:15,23.3,26.3,7.61,802,16,0
1,12/29/21,14:04:15,23.4,26.1,7.61,801,17,0
2,12/29/21,14:05:15,23.3,25.9,7.61,801,16,0
3,12/29/21,14:06:15,23.3,26,7.64,801,16,0
4,12/29/21,14:07:15,23.4,26.1,7.64,802,17,0
5,12/29/21,14:08:15,23.3,26.2,7.64,803,17,0
6,12/29/21,14:09:15,23.3,26.2,7.64,803,17,0
7,12/29/21,14:10:15,23.3,26.3,7.61,803,17,0
8,12/29/21,14:11:15,23.3,26.3,7.61,803,17,0
9,12/29/21,14:12:15,23.3,26.3,7.61,803,16,0
10,12/29/21,14:13:15,23.3,26.3,7.61,803,17,0
11,12/29/21,14:14:15,23.4,26.3,7.61,805,16,0
12,12/29/21,14:15:15,23.3,26.3,7.61,803,17,0
13,12/29/21,14:16:15,23.3,26.4,7.61,803,16,0
14,12/29/21,14:17:15,23.4,26.4,7.61,803,17,0
15,12/29/21,14:18:15,23.3,26.4,7.61,803,17,0
16,12/29/21,14:19:15,23.3,26.4,7.61,803,17,0
17,12/29/21,14:20:15,23.3,26.4,7.61,803,17,0
18,12/29/21,14:21:15,23.4,26.4,7.61,803,16,0
19,12/29/21,14:22:15,23.3,26.4,7.61,803,16,0
20,12/29/21,14:23:15,23.4,26.4,7.61,804,16,0
21,12/29/21,14:24:15,23.4,26.4,7.61,803,16,0
22,12/29/21,14:25:15,23.4,26.2,7.61,802,17,0
23,12/29/21,14:26:15,23.3,26,7.61,801,17,0
24,12/29/21,14:27:15,23.4,25.9,7.61,799,17,0
25,12/29/21,14:28:15,23.3,26,7.64,803,17,0
26,12/29/21,14:29:15,23.3,26.1,7.64,803,17,0
27,12/29/21,14:30:15,23.4,26.2,7.61,803,17,0
28,12/29/21,14:31:15,23.4,26.2,7.61,804,17,0
29,12/29/21,14:32:15,23.3,26.2,7.61,804,16,0
30,12/29/21,14:33:15,23.4,26.3,7.61,805,17,0
31,12/29/21,14:34:15,23.4,26.3,7.61,803,17,0
32,12/29/21,14:35:15,23.3,26.3,7.61,803,17,0
33,12/29/21,14:36:15,23.3,26.3,7.61,803,16,0
34,12/29/21,14:37:15,23.4,26.3,7.61,804,17,0
35,12/29/21,14:38:15,23.4,26.4,7.61,804,17,0
36,12/29/21,14:39:16,23.3,26.4,7.61,804,17,0
37,12/29/21,14:40:16,24.6,26.4,7.61,804,17,0
38,12/29/21,14:41:16,24.7,26.4,7.61,803,17,0
39,12/29/21,14:42:15,24.7,26.3,7.61,804,17,0
40,12/29/21,14:43:15,24.8,26.1,7.61,804,16,0
41,12/29/21,14:44:15,24.8,25.9,7.61,802,16,0
42,12/29/21,14:45:15,24.3,25.6,7.61,802,16,0
43,12/29/21,14:46:15,23.9,25.6,7.64,804,17,0
44,12/29/21,14:47:15,23.4,25.7,7.64,807,16,0
45,12/29/21,14:48:15,23,25.7,7.64,807,17,0
46,12/29/21,14:49:15,22.6,25.7,7.64,808,16,0
47,12/29/21,14:50:15,22.4,25.8,7.64,808,17,0
48,12/29/21,14:51:16,22.3,25.8,7.64,807,17,0
49,12/29/21,14:52:16,22.1,25.8,7.64,805,17,0
50,12/29/21,14:53:16,22.4,25.8,7.61,805,16,0
51,12/29/21,14:54:16,22.6,25.7,7.61,804,17,0
52,12/29/21,14:55:16,22.8,25.8,7.61,804,17,0
53,12/29/21,14:56:16,22.9,25.8,7.61,803,17,0
54,12/29/21,14:57:16,23,25.8,7.61,803,16,0
55,12/29/21,14:58:16,23,25.9,7.61,803,17,0
56,12/29/21,14:59:16,21.7,25.9,7.61,803,17,0
57,12/29/21,15:00:16,20.8,25.8,7.61,803,17,0
58,12/29/21,15:01:16,21.1,25.9,7.61,802,16,0
59,12/29/21,15:02:16,22,25.9,7.61,802,17,0
60,12/29/21,15:03:16,22.4,26,7.61,801,17,0
61,12/29/21,15:04:16,22.6,26,7.61,801,17,0
62,12/29/21,15:05:16,22.8,26,7.59,801,17,0
63,12/29/21,15:06:16,22.9,26,7.59,801,17,0
64,12/29/21,15:07:16,23,26.1,7.58,801,17,0
65,12/29/21,15:08:16,22.9,26.1,7.58,801,17,0
66,12/29/21,15:09:16,23.2,26.1,7.58,801,16,0
67,12/29/21,15:10:16,23.2,26.1,7.58,801,17,0
68,12/29/21,15:11:16,23.2,26.1,7.58,801,17,0
69,12/29/21,15:12:16,23.3,26.1,7.58,802,16,0
70,12/29/21,15:13:16,23.2,26.1,7.58,803,17,0
71,12/29/21,15:14:16,23.2,26.1,7.59,802,17,0
72,12/29/21,15:15:16,23.3,26.2,7.58,802,17,0
73,12/29/21,15:16:16,23.3,26.2,7.58,801,17,0
74,12/29/21,15:17:16,23.3,26.2,7.58,803,17,0
75,12/29/21,15:18:16,23.3,26.2,7.58,802,17,0
76,12/29/21,15:19:16,23.3,26.2,7.59,802,16,0
77,12/29/21,15:20:16,23.3,26.2,7.58,802,16,0
78,12/29/21,15:21:16,23.3,26.2,7.59,801,17,0
79,12/29/21,15:22:16,23.3,26.2,7.58,801,17,0
80,12/29/21,15:23:16,23.3,26.2,7.59,802,17,0
81,12/29/21,15:24:16,23.3,26.2,7.58,802,16,0
82,12/29/21,15:25:16,23.3,26.2,7.58,802,17,0
83,12/29/21,15:26:16,23.3,26.2,7.59,803,16,0
84,12/29/21,15:27:16,23.3,26.2,7.58,801,17,0
85,12/29/21,15:28:16,23.3,26.2,7.58,801,16,0
86,12/29/21,15:29:17,23.3,26.2,7.59,803,17,0
87,12/29/21,15:30:17,23.3,26.2,7.58,803,17,0
